symbol,name,industry,latest_price,pct_change,amount,volume,turnover_rate,total_mv,circ_mv,pe_ttm,pb,roe,revenue_growth,profit_growth,cash_flow_quality,debt_to_asset,financial_report_date,financial_announce_date,source,as_of_date,expected_trade_date,staleness_days,latest_coverage,trading_days,liquidity_rank,size_rank,universe_score,universe_rank
SH.688521,芯原股份,半导体,299.91,,5887086975.967213,597475.0039344262,3.817,127850002866.0,,-239.65,40.626,-10.38,114.473459151,-54.6871251507,0.9048260490444794,59.7351554982,2026-03-31,2026-04-30,local_history_sqlite,2026-06-04,2026-06-04,0,0.9566047561187294,61,0.9894704242799628,0.9532362960668938,0.9749767729947352,47
SZ.002460,赣锋锂业,小金属,91.45,,5158970216.61541,1380722.9429508196,3.4712,140038219243.0,,36.7932,3.0143,4.02,143.8134944996,616.34,0.4280998154343529,55.2581733279,2026-03-31,2026-04-30,local_history_sqlite,2026-06-04,2026-06-04,0,0.9566047561187294,61,0.9854444100340662,0.9585010839269124,0.9746670795912047,48
SZ.000063,中兴通讯,通信设备,39.11,,4188447487.85623,5532780.55590164,5.9735,180530606635.0,,40.3419,2.3502,1.72,6.1266955583,-46.58,-1.5099065660188455,65.8709760192,2026-03-31,2026-04-25,local_history_sqlite,2026-06-04,2026-06-04,0,0.9566047561187294,61,0.9764633013316817,0.9715082068751936,0.9744812635490865,49
SZ.000338,潍柴动力,汽车配件,35.34,,3569675954.673279,2942312.0236065574,1.7405,292260759513.0,,25.8514,3.0893,3.27,8.8741022466,13.83,-0.8804107859067756,64.1570000441,2026-03-31,2026-04-30,local_history_sqlite,2026-06-04,2026-06-04,0,0.9566047561187294,61,0.9677918860328275,0.9842056364199443,0.9743573861876742,50
SZ.300433,蓝思科技,元器件,44.39,,3887505533.6290164,4366953.962459017,3.5805,230364251567.0,,66.9792,4.218,-0.27,-17.13422023,-134.88,-13.462246673851842,33.9048619962,2026-03-31,2026-04-16,local_history_sqlite,2026-06-04,2026-06-04,0,0.9566047561187294,61,0.9715082068751936,0.9783214617528647,0.9742335088262619,51
SZ.300442,润泽科技,软件服务,102.46,,5139193794.690164,1265609.0091803279,1.8609,133656617400.0,,25.6933,9.3555,4.17,53.5531800545,35.35,2.2600241559735768,64.9706498274,2026-03-31,2026-04-10,local_history_sqlite,2026-06-04,2026-06-04,0,0.9566047561187294,61,0.9851347166305358,0.9557138432951379,0.9733663672963766,52
SZ.002916,深南电路,元器件,419.5,,3642926346.357377,368111.8221311475,2.3194,267957315141.0,,73.7256,16.2836,4.83,37.8994473036,73.01,0.2909913938370506,47.2424708369,2026-03-31,2026-04-24,local_history_sqlite,2026-06-04,2026-06-04,0,0.9566047561187294,61,0.968101579436358,0.9811087023846392,0.9733044286156705,53
SH.601857,中国石油,石油开采,12.92,,2831228452.0819674,5469188.530819672,0.0834,1949173413762.0,,12.2723,1.1998,3.0,-2.2140451706,1.9,1.747744765372838,39.5840580488,2026-03-31,2026-04-30,local_history_sqlite,2026-06-04,2026-06-04,0,0.9566047561187294,61,0.9560235366986684,0.9987612263858779,0.9731186125735523,54
SZ.300014,亿纬锂能,电气设备,75.31,,5200205548.828525,1804878.8206557378,3.7647,129658895142.0,,28.945,2.6982,3.35,61.6101774827,31.35,-0.2528150944829873,64.8881408031,2026-03-31,2026-04-25,local_history_sqlite,2026-06-04,2026-06-04,0,0.9566047561187294,61,0.9857541034375967,0.9538556828739548,0.97299473521214,55
SH.600089,特变电工,电气设备,32.76,,5114449001.196721,3847570.422295082,2.049,129604129445.99998,,21.0102,1.8012,2.5539,6.7504213545,13.4,0.290656758664024,56.5765079782,2026-03-31,2026-04-30,local_history_sqlite,2026-06-04,2026-06-04,0,0.9566047561187294,61,0.9848250232270053,0.9535459894704242,0.9723134097243729,56
SZ.300408,三环集团,元器件,139.03,,3413663782.8836064,1453711.0062295082,3.9605,266450629490.0,,92.6259,12.3719,3.59,46.2513484871,48.48,0.19811024029484026,17.136145485,2026-03-31,2026-04-24,local_history_sqlite,2026-06-04,2026-06-04,0,0.9566047561187294,61,0.9659337256116445,0.9807990089811087,0.9718798389594301,57
SZ.002008,大族激光,专用机械,149.03,,4633453251.740984,1081274.133114754,7.0344,138636098887.0,,100.4405,6.7752,1.87,74.4437235614,116.59,-2.0220819579904634,43.6932230943,2026-03-31,2026-04-21,local_history_sqlite,2026-06-04,2026-06-04,0,0.9566047561187294,61,0.9811087023846392,0.9575720037163209,0.9716940229173119,58
SZ.300857,协创数据,IT设备,300.99,,5343374867.409181,526714.9513114755,3.4256,119570965194.0,,68.5012,23.358,15.66,192.9016238333,343.45,0.36284152390463553,85.8885384386,2026-03-31,2026-04-28,local_history_sqlite,2026-06-04,2026-06-04,0,0.9566047561187294,61,0.9860637968411273,0.9495199752245277,0.9714462681944875,59
SZ.002156,通富微电,半导体,75.31,,6410851734.327868,4264588.583442623,13.3519,107901140443.0,,74.601,6.9454,2.1,22.8027090806,224.55,2.861519467686076,64.9219668208,2026-03-31,2026-04-30,local_history_sqlite,2026-06-04,2026-06-04,0,0.9566047561187294,61,0.9913285847011458,0.9414679467327346,0.9713843295137814,60
SZ.300604,长川科技,半导体,248.0,,4388532450.4083605,714719.3196721311,5.5793,141697397437.0,,90.0854,28.172,7.17,69.0854419545,217.6,-0.5938905696005716,49.4150920685,2026-03-31,2026-04-25,local_history_sqlite,2026-06-04,2026-06-04,0,0.9566047561187294,61,0.9795602353669867,0.9588107773304428,0.9712604521523691,61
SH.600176,中国巨石,玻璃,43.48,,4168799956.442623,3973298.6078688526,3.9027,153680418988.0,,40.2074,4.8736,4.0,17.9290509314,73.48,0.17454353007267265,38.9335015665,2026-03-31,2026-04-25,local_history_sqlite,2026-06-04,2026-06-04,0,0.9566047561187294,61,0.9758439145246206,0.9625270981728089,0.970517187983896,62
SH.600989,宝丰能源,化工原料,34.28,,3814252640.3114753,2407006.5760655734,1.4089,172920628800.0,,13.752,3.5245,7.28,22.8956954811,50.23,1.5197184054841053,44.8553782677,2026-03-31,2026-04-24,local_history_sqlite,2026-06-04,2026-06-04,0,0.9566047561187294,61,0.9708888200681326,0.9696500464540105,0.9703933106224838,63
SZ.002938,鹏鼎控股,元器件,116.0,,3020835493.23459,1382026.3731147542,2.2931,257246569038.0,,69.2934,7.4261,1.35,-1.2486438963,-5.21,6.691893374445329,30.3587274311,2026-03-31,2026-04-30,local_history_sqlite,2026-06-04,2026-06-04,0,0.9566047561187294,61,0.9634561783834005,0.9801796221740476,0.9701455558996593,64
SH.601600,中国铝业,铝,14.76,,3662373899.032787,9279791.891639344,4.0955,186989187464.0,,12.752,2.3187,7.11,4.8488062761,56.35,1.968687293579351,43.2654736394,2026-03-31,2026-04-24,local_history_sqlite,2026-06-04,2026-06-04,0,0.9566047561187294,61,0.9684112728398885,0.972437287085785,0.9700216785382471,65
SH.600900,长江电力,水力发电,27.96,,2724283115.344262,4470088.611311476,0.3576,678258995088.0,,18.7972,2.9761,3.01,6.4427781703,30.5,1.7320886173822385,57.3270691817,2026-03-31,2026-04-30,local_history_sqlite,2026-06-04,2026-06-04,0,0.9566047561187294,61,0.9529266026633633,0.9938061319293899,0.9692784143697739,66
SH.600938,中国海油,石油开采,43.36,,2634552795.557377,1305838.1168852458,1.1697,1684936868732.9998,,13.5159,2.0128,4.77,8.6332753102,7.1,1.4088493766605354,27.0924821308,2026-03-31,2026-04-29,local_history_sqlite,2026-06-04,2026-06-04,0,0.9566047561187294,61,0.9501393620315888,0.9978321461752865,0.9692164756890679,67
SH.603019,中科曙光,IT设备,100.71,,4671491124.393442,1372124.4427868854,2.3202,123486972170.0,,55.6834,5.613,1.02,23.7100491767,22.19,-6.103733956212753,41.1353358028,2026-03-31,2026-04-25,local_history_sqlite,2026-06-04,2026-06-04,0,0.9566047561187294,61,0.9814183957881697,0.9507587488386497,0.9691545370083617,68
SZ.300136,信维通信,元器件,118.98,,7709438757.024755,3164752.4145901636,8.2372,94821726524.0,,128.8193,11.89,1.31,14.3051644233,35.35,0.7722075185731353,43.2391341141,2026-03-31,2026-04-18,local_history_sqlite,2026-06-04,2026-06-04,0,0.9566047561187294,61,0.9925673583152679,0.9334159182409415,0.9689067822855373,69
SZ.002709,天赐材料,化工原料,64.0,,5871791069.568033,2839116.9732786887,6.0355,100704950154.0,,35.1292,5.4516,8.84,91.2907826689,1005.75,-0.012930796611273564,35.5638974154,2026-03-31,2026-04-28,local_history_sqlite,2026-06-04,2026-06-04,0,0.9566047561187294,61,0.9888510374729018,0.936203158872716,0.9677918860328275,70
