date,trade_cash_flow,exposure,daily_pnl,buy_amount,sell_amount,trade_cost,account_total_assets,stock_assets,cash_assets,profit,profit_rate,fold,selected_params
2020-12-16,0.0,0.20856378095837508,23.65292714124879,0.0,0.0,0.0,1104969.956917519,230456.71206013058,874513.2448573884,104969.95691751898,0.10496995691751909,3,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2020-12-17,0.0,0.20856378095837508,3642.3290792421044,0.0,0.0,0.0,1108612.285996761,231216.3699843919,877395.9160123691,108612.28599676094,0.10861228599676087,3,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2020-12-18,-34729.51605402722,0.24302290518857633,9042.085655718172,110231.76374293047,75772.63951272919,137.7897046786631,1117654.3716524793,271615.6123956983,846038.759256781,117654.37165247928,0.11765437165247938,3,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2020-12-21,0.0,0.24302290518857633,16771.37166468148,0.0,0.0,0.0,1134425.7433171608,275691.43986164656,858734.3034555141,134425.74331716076,0.13442574331716073,3,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2020-12-22,0.0,0.24302290518857633,-4270.477822688395,0.0,0.0,0.0,1130155.2654944723,274653.6159346335,855501.6495598389,130155.26549447235,0.13015526549447243,3,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2020-12-23,0.0,0.24302290518857633,8860.183134041627,0.0,0.0,0.0,1139015.4486285138,276806.84338037105,862208.6052481427,139015.44862851384,0.13901544862851378,3,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2020-12-24,0.0,0.24302290518857633,65.77499277662378,0.0,0.0,0.0,1139081.2236212906,276822.82821020443,862258.3954110863,139081.22362129064,0.1390812236212906,3,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2020-12-25,0.0,0.24302290518857633,17533.097754608963,0.0,0.0,0.0,1156614.3213758995,281083.7725634848,875530.5488124148,156614.32137589948,0.15661432137589948,3,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2020-12-28,0.0,0.24302290518857633,1181.9251403565227,0.0,0.0,0.0,1157796.2465162561,281371.00744480966,876425.2390714465,157796.24651625613,0.15779624651625612,3,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2020-12-29,0.0,0.24302290518857633,-19718.753283337657,0.0,0.0,0.0,1138077.4932329184,276578.89873519616,861498.5944977223,138077.49323291844,0.1380774932329185,3,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
