代码,名称,最新价,涨跌幅,涨跌额,买入,卖出,成交量,成交额,今开,昨收,最高,最低
06127,昭衍新药,17.99,1.35,0.24,17.99,17.99,2664541.0,48175319.18,18.0,17.75,18.58,17.66
03759,康龙化成,17.52,0.75,0.13,17.52,17.52,6179901.0,108814556.29,17.78,17.39,18.04,17.13
02196,复星医药,17.02,2.9,0.48,17.02,17.02,3630100.0,61631956.5,16.69,16.54,17.36,16.59
02218,安德利果汁,16.9,-2.09,-0.36,16.9,16.9,1318100.0,22439512.0,17.39,17.26,17.39,16.88
02715,埃斯顿,16.84,-7.17,-1.3,16.84,16.84,14650400.0,260659974.0,18.59,18.14,19.55,16.69
00564,中创智领,16.66,-0.48,-0.08,16.66,16.66,782800.0,13078646.6,16.51,16.74,16.87,16.51
00995,安徽皖通高速公路,16.21,0.87,0.14,16.21,16.21,2996000.0,49062220.0,15.9,16.07,16.6,15.9
01776,广发证券,16.15,1.76,0.28,16.15,16.15,11966891.0,192870697.63,15.89,15.87,16.4,15.7
00699,均胜电子,16.06,-5.19,-0.88,16.06,16.06,4563217.0,74956210.18,16.94,16.94,17.12,15.96
01138,中远海能,15.99,-2.56,-0.42,15.99,15.99,122751317.0,1961756914.92,16.5,16.41,16.5,15.77
06886,华泰证券,15.85,1.73,0.27,15.85,15.85,13950508.0,220938093.58,15.6,15.58,16.12,15.6
00874,白云山,15.47,1.44,0.22,15.47,15.47,1409300.0,21781486.0,15.58,15.25,15.62,15.32
02603,吉宏股份,15.42,-0.13,-0.02,15.42,15.42,1561500.0,24061585.0,15.44,15.44,15.62,15.16
02402,亿华通,15.34,-2.36,-0.37,15.34,15.34,1218710.0,18717565.0,15.99,15.71,15.99,14.81
09981,沃尔核材,15.29,-1.35,-0.21,15.29,15.29,2735200.0,42575694.0,15.5,15.5,15.88,15.23
06655,华新建材,14.66,2.95,0.42,14.66,14.66,3392840.0,49310067.1,14.54,14.24,14.73,14.04
06099,招商证券,14.64,-1.28,-0.19,14.64,14.64,5525154.0,82139083.4,14.95,14.83,15.3,14.56
01171,兖矿能源,14.56,2.82,0.4,14.56,14.56,36834051.0,539825800.51,14.16,14.16,14.87,14.03
00317,中船防务,14.34,-0.03,-0.01,14.34,14.34,1202000.0,17234400.0,14.36,14.35,14.44,14.2
01919,中远海控,14.17,0.78,0.11,14.17,14.17,47154298.0,664130889.63,14.19,14.06,14.23,13.92
02465,龙蟠科技,14.15,-1.67,-0.24,14.15,14.15,6186500.0,87860009.5,14.65,14.39,14.65,14.0
02208,金风科技,13.71,-2.42,-0.34,13.71,13.71,15866762.0,217787703.4,14.19,14.05,14.19,13.54
02611,国泰海通,13.06,1.32,0.17,13.06,13.06,44301304.0,579707160.64,13.1,12.89,13.53,12.93
01898,中煤能源,12.64,1.94,0.24,12.64,12.64,20951907.0,265426321.75,12.45,12.4,12.81,12.23
02701,国民技术,12.3,-8.28,-1.11,12.3,12.3,10004600.0,126234892.0,13.65,13.41,13.65,12.16
09969,诺诚健华,11.63,3.65,0.41,11.63,11.63,14983000.0,173490388.0,11.52,11.22,11.88,11.21
06066,中信建投证券,11.35,2.81,0.31,11.35,11.35,11347046.0,130594417.82,11.09,11.04,11.84,10.97
02607,上海医药,11.35,0.09,0.01,11.35,11.35,4304930.0,49299663.7,11.32,11.34,11.6,11.32
02600,中国铝业,10.9,0.65,0.07,10.9,10.9,68533443.0,753093393.66,11.11,10.83,11.27,10.84
00857,中国石油股份,10.89,1.02,0.11,10.89,10.89,171841209.0,1863504008.75,10.74,10.78,10.91,10.6
00177,江苏宁沪高速公路,10.5,1.35,0.14,10.5,10.5,104664711.0,1099949184.26,10.36,10.36,10.8,10.29
02333,长城汽车,10.41,0.0,0.0,10.41,10.41,23894602.0,249046236.19,10.52,10.41,10.52,10.31
00638,广和通,9.96,-5.86,-0.62,9.96,9.96,2093400.0,21421484.0,10.87,10.58,10.87,9.93
02039,中集集团,9.83,-0.61,-0.06,9.83,9.83,3753060.0,36758680.8,9.89,9.89,10.12,9.55
00811,新华文轩,9.8,3.28,0.31,9.8,9.8,2581400.0,25229746.0,9.48,9.49,9.93,9.44
02691,南华期货股份,9.52,3.59,0.33,9.52,9.52,5037000.0,48906160.0,9.32,9.19,10.02,9.32
