strategy_id,walk_forward_preset,fold,date,benchmark_weight_date,symbol,benchmark_rank,benchmark_weight,failure_reason
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-09-03,2021-09-01,SH.600837,35,0.006378,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-09-03,2021-09-01,SH.601816,57,0.0048259999999999996,missing_from_pit_panel
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-09-06,2021-09-01,SH.600837,35,0.006378,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-09-06,2021-09-01,SH.601816,57,0.0048259999999999996,missing_from_pit_panel
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-09-07,2021-09-01,SH.600837,35,0.006378,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-09-07,2021-09-01,SH.601816,57,0.0048259999999999996,missing_from_pit_panel
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-09-08,2021-09-01,SH.600837,35,0.006378,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-09-08,2021-09-01,SH.601816,57,0.0048259999999999996,missing_from_pit_panel
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-09-09,2021-09-01,SH.600837,35,0.006378,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-09-09,2021-09-01,SH.601816,57,0.0048259999999999996,missing_from_pit_panel
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-09-10,2021-09-01,SH.600837,35,0.006378,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-09-10,2021-09-01,SH.601816,57,0.0048259999999999996,missing_from_pit_panel
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-09-13,2021-09-01,SH.600837,35,0.006378,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-09-13,2021-09-01,SH.601816,57,0.0048259999999999996,missing_from_pit_panel
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-09-14,2021-09-01,SH.600837,35,0.006378,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-09-14,2021-09-01,SH.601816,57,0.0048259999999999996,missing_from_pit_panel
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-09-15,2021-09-01,SH.600837,35,0.006378,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-09-15,2021-09-01,SH.601816,57,0.0048259999999999996,missing_from_pit_panel
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-09-16,2021-09-01,SH.600837,35,0.006378,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-09-16,2021-09-01,SH.601816,57,0.0048259999999999996,missing_from_pit_panel
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-09-17,2021-09-01,SH.600837,35,0.006378,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-09-17,2021-09-01,SH.601816,57,0.0048259999999999996,missing_from_pit_panel
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-09-22,2021-09-01,SH.600837,35,0.006378,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-09-22,2021-09-01,SH.601816,57,0.0048259999999999996,missing_from_pit_panel
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-09-23,2021-09-01,SH.600837,35,0.006378,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-09-23,2021-09-01,SH.601816,57,0.0048259999999999996,missing_from_pit_panel
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-09-24,2021-09-01,SH.600837,35,0.006378,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-09-24,2021-09-01,SH.601816,57,0.0048259999999999996,missing_from_pit_panel
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-09-27,2021-09-01,SH.600837,35,0.006378,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-09-27,2021-09-01,SH.601816,57,0.0048259999999999996,missing_from_pit_panel
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-09-28,2021-09-01,SH.600837,35,0.006378,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-09-28,2021-09-01,SH.601816,57,0.0048259999999999996,missing_from_pit_panel
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-09-29,2021-09-01,SH.600837,35,0.006378,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-09-29,2021-09-01,SH.601816,57,0.0048259999999999996,missing_from_pit_panel
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-09-30,2021-09-01,SH.600837,35,0.006378,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-09-30,2021-09-01,SH.601816,57,0.0048259999999999996,missing_from_pit_panel
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-10-08,2021-09-30,SH.600837,40,0.0059,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-10-08,2021-09-30,SH.601816,58,0.004699999999999999,missing_from_pit_panel
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-10-11,2021-10-08,SH.600837,39,0.005948999999999999,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-10-11,2021-10-08,SH.601816,57,0.004828,missing_from_pit_panel
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-10-12,2021-10-08,SH.600837,39,0.005948999999999999,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-10-12,2021-10-08,SH.601816,57,0.004828,missing_from_pit_panel
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-10-13,2021-10-08,SH.600837,39,0.005948999999999999,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-10-13,2021-10-08,SH.601816,57,0.004828,missing_from_pit_panel
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-10-14,2021-10-08,SH.600837,39,0.005948999999999999,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-10-14,2021-10-08,SH.601816,57,0.004828,missing_from_pit_panel
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-10-15,2021-10-08,SH.600837,39,0.005948999999999999,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-10-15,2021-10-08,SH.601816,57,0.004828,missing_from_pit_panel
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-10-18,2021-10-08,SH.600837,39,0.005948999999999999,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-10-18,2021-10-08,SH.601816,57,0.004828,missing_from_pit_panel
